ID,Severity,PriorityScore,Likelihood,Impact,DetectabilityGap,AbuseScenario,ActorType,EntryPoints,ExistingControls,Gaps,PreventiveControls,DetectionSignals,ImmediateContainment,Owner,TargetDate,SLA
R-001,Critical,22,4,5,2,Fake organization onboarding for fraudulent issuance,External fraud actor,/users/me/onboarding + downstream issuance,Role/status model + admin approvals,Identity proofing depth and KYB rigor may be inconsistent,Enhanced institution/employer proofing checklist + manual secondary verification before approval,Spike in new org accounts from shared infrastructure + later issuance activity,Suspend applicant account and hold related credentials,Trust & Safety Lead,2026-03-17,P1 <= 4h
R-002,High,17,3,5,2,Institution insider creates/edits students for identity abuse,Institution insider,/users/me/institution/students* endpoints,Role guard + institution scope checks,Need stronger anomaly controls for bulk/atypical profile edits,Step-up for bulk operations and high-risk profile fields + maker-checker for large batches,Unusual creation volume and repeated edits by one operator,Freeze institution student-management actions pending review,Institution Ops Manager,2026-03-24,P1 <= 8h
R-003,High,16,3,5,1,QR token leakage and unauthorized first-consume verification,External or leaked recipient,/credentials/:id/qr-token and /credentials/verify/qr,Single-use token hash + TTL + atomic consume,Tokens exposed in URLs/browser history/referrer channels,Warning banner + shortest viable TTL + no-referrer policy on verify pages,High invalid/used outcomes after generation for same credential,Invalidate active tokens for credential and alert student,Product Security Engineer,2026-03-20,P1 <= 4h
R-004,High,15,3,4,3,QR document token abuse for exfiltration,Employer insider or leaked recipient,/credentials/verify/qr/document/:token,One-time doc token + preview/download flags + TTL,Download enablement may be overused and hard to supervise,Step-up confirmation when enabling download + stricter default to preview-only,Repeated doc token failures and unusual IP dispersion,Disable document sharing for affected credential and rotate token flow,Credential Service Owner,2026-03-24,P1 <= 8h
R-005,High,16,4,3,4,Public endpoint brute-force/automation and scraping,External botnet,/credentials/verify/qr + gateway public routes,Gateway per-IP memory rate limit,Memory-local limiter insufficient across restarts/instances,Route-class aware distributed limits + token/IP reputation checks,Request-rate spikes + low success ratio + repeated malformed tokens,Activate emergency throttling profile and block offending IP ranges,SRE Lead,2026-03-21,P1 <= 2h
R-006,Medium,13,4,3,1,Credential request spam/coercion workflows,Automated spammer or abusive user,/credentials/requests create + status updates,Auth + approved account checks,No dedicated anti-spam heuristics per actor/tenant,Adaptive per-user and per-tenant request quotas + cool-down windows,High request-create bursts with repeated rejection outcomes,Temporarily suspend request creation for offending actor,Credential Request Owner,2026-03-28,P2 <= 24h
R-007,Critical,22,4,5,2,Privilege abuse via admin role/status changes,Compromised admin or rogue admin,/users/:id/role and /users/:id/status,Role checks + audit logs,High-impact actions need stronger transaction-level controls,Step-up auth + dual authorization for high-risk role transitions,Role-change followed by issuance/status-change chain anomalies,Revoke admin session/tokens and freeze admin mutations,Platform Security Lead,2026-03-14,P1 <= 2h
R-008,High,18,3,5,3,Internal endpoint misuse when service token is absent/weak,External or internal attacker,/credentials/internal/documents/:id and /notifications/system,Internal service token middleware,Middleware currently allows pass-through when token config is missing,Fail-closed internal auth policy + startup hard-fail on missing token,Any call to internal endpoint without known service identity,Block internal routes at gateway and rotate service secrets,Backend Lead,2026-03-10,P1 <= 2h
R-009,Medium,12,3,3,3,Malicious file upload (content abuse/parser abuse),External or insider,/credentials create/issue file uploads,MIME allow-list + size limits + encryption at rest,MIME checks alone can be bypassed; no deep file validation noted,Magic-byte validation + malware scan pipeline + PDF safety profile,Upload failure bursts and suspicious mime/extension mismatches,Quarantine recent uploads and pause issuance for affected tenant,Credential Service Owner,2026-03-31,P2 <= 24h
R-010,High,15,3,4,3,Audit evasion or insufficient forensic traceability,Insider or advanced external actor,Cross-service actions and logs,AuditAction taxonomy + gateway logs,Missing correlation IDs and possible token leakage in logs,Correlation-ID propagation + log redaction policy + integrity controls,Events without trace linkage across gateway/services,Preserve logs, snapshot DB, and initiate incident timeline reconstruction,Security Operations Lead,2026-03-18,P1 <= 8h
